,word,frequence,rang
0,the,5043,1
1,to,4256,2
2,I,3398,3
3,you,3349,4
4,and,3253,5
5,a,2859,6
6,of,2321,7
7,for,2277,8
8,is,2035,9
9,in,1856,10
10,it,1573,11
11,that,1428,12
12,this,1230,13
13,on,1123,14
14,your,1065,15
15,are,1050,16
16,have,961,17
17,be,926,18
18,my,903,19
19,with,839,20
20,was,726,21
21,so,688,22
22,all,654,23
23,Thank,650,24
24,we,589,25
25,You,587,26
26,as,579,27
27,me,572,28
28,not,568,29
29,Thanks,547,30
30,about,533,31
31,like,523,32
32,up,511,33
33,good,509,34
34,do,498,35
35,but,489,36
36,will,486,37
37,at,468,38
38,just,463,39
39,great,459,40
40,can,455,41
41,our,441,42
42,from,435,43
43,get,431,44
44,what,429,45
45,people,416,46
46,more,396,47
47,love,390,48
48,one,387,49
49,The,385,50
50,out,385,51
51,back,375,52
52,I'm,375,53
53,an,371,54
54,talk,363,55
55,they,363,56
56,would,362,57
57,see,345,58
58,very,340,59
59,This,339,60
60,work,318,61
61,know,317,62
62,too,317,63
63,how,312,64
64,time,310,65
65,he,307,66
66,think,304,67
67,if,300,68
68,much,299,69
69,there,298,70
70,really,297,71
71,us,293,72
72,by,290,73
73,or,286,74
74,am,276,75
75,well,273,76
76,when,273,77
77,them,268,78
78,has,265,79
79,no,263,80
80,It,261,81
81,i,257,82
82,some,255,83
83,who,253,84
84,her,253,85
85,We,251,86
86,now,232,87
87,his,229,88
88,thanks,224,89
89,their,220,90
90,way,216,91
91,Good,216,92
92,been,215,93
93,should,213,94
94,go,212,95
95,don't,211,96
96,And,210,97
97,had,205,98
98,only,203,99
99,make,203,100
100,need,200,101
101,she,197,102
102,thank,193,103
103,What,192,104
104,could,190,105
105,Great,188,106
106,follow,183,107
107,going,182,108
108,day,182,109
109,than,181,110
110,right,180,111
111,D,175,112
112,keep,170,113
113,want,169,114
114,hope,168,115
115,best,168,116
116,luck,168,117
117,were,167,118
118,doing,167,119
119,A,166,120
120,So,164,121
121,world,164,122
122,here,162,123
123,him,160,124
124,because,159,125
125,its,155,126
126,It's,154,127
127,awesome,154,128
128,still,153,129
129,No,153,130
130,better,153,131
131,any,151,132
132,amazing,151,133
133,most,151,134
134,being,151,135
135,many,150,136
136,got,149,137
137,always,147,138
138,other,146,139
139,com,145,140
140,did,144,141
141,it's,144,142
142,vote,144,143
143,Keep,141,144
144,even,141,145
145,3,140,146
146,That,140,147
147,say,139,148
148,life,138,149
149,those,137,150
150,man,136,151
151,these,135,152
152,sure,135,153
153,You're,135,154
154,look,134,155
155,welcome,134,156
156,If,134,157
157,YOU,134,158
158,things,133,159
159,job,133,160
160,also,132,161
161,again,132,162
162,over,131,163
163,http,131,164
164,first,131,165
165,something,130,166
166,into,127,167
167,such,125,168
168,support,124,169
169,Happy,124,170
170,u,123,171
171,then,123,172
172,never,123,173
173,new,123,174
174,My,122,175
175,you're,122,176
176,made,120,177
177,How,119,178
178,hard,119,179
179,done,118,180
180,why,118,181
181,same,117,182
182,Love,117,183
183,help,115,184
184,happy,115,185
185,thing,114,186
186,years,113,187
187,nice,111,188
188,year,110,189
189,Just,109,190
190,problem,109,191
191,ever,109,192
192,feel,109,193
193,take,108,194
194,He,108,195
195,show,107,196
196,wish,106,197
197,beautiful,106,198
198,lot,106,199
199,where,106,200
200,watch,105,201
201,can't,105,202
202,Im,105,203
203,off,104,204
204,www,104,205
205,proud,104,206
206,idea,104,207
207,video,104,208
208,God,103,209
209,But,103,210
210,forward,103,211
211,today,101,212
212,getting,100,213
213,following,99,214
214,TED,98,215
215,down,97,216
216,few,97,217
217,dont,97,218
218,last,96,219
219,little,94,220
220,Very,93,221
221,looking,93,222
222,They,92,223
223,family,92,224
224,use,92,225
225,lol,91,226
226,someone,91,227
227,before,90,228
228,come,89,229
229,hear,88,230
230,Oh,88,231
231,though,88,232
232,working,88,233
233,thought,88,234
234,bad,87,235
235,inspiring,87,236
236,both,87,237
237,2,86,238
238,which,86,239
239,Yes,85,240
240,does,85,241
241,I'll,85,242
242,story,85,243
243,give,84,244
244,wonderful,84,245
245,said,83,246
246,every,83,247
247,long,83,248
248,next,83,249
249,Well,83,250
250,country,82,251
251,makes,82,252
252,after,82,253
253,wait,81,254
254,Please,81,255
255,I've,81,256
256,find,81,257
257,own,80,258
258,Congressman,80,259
259,fun,80,260
260,Your,80,261
261,She,80,262
262,watching,80,263
263,part,80,264
264,live,79,265
265,change,78,266
266,Hope,77,267
267,pretty,77,268
268,interesting,77,269
269,glad,76,270
270,Not,75,271
271,book,75,272
272,Its,75,273
273,believe,74,274
274,start,74,275
275,Now,73,276
276,Obama,73,277
277,Have,73,278
278,real,73,279
279,Congratulations,72,280
280,read,72,281
281,money,72,282
282,THE,71,283
283,anything,70,284
284,place,70,285
285,put,70,286
286,important,70,287
287,1,70,288
288,As,70,289
289,cool,70,290
290,Wow,69,291
291,Hey,69,292
292,Why,69,293
293,through,69,294
294,another,69,295
295,Senator,69,296
296,game,69,297
297,Yeah,68,298
298,That's,68,299
299,actually,67,300
300,news,67,301
301,Go,67,302
302,person,67,303
303,while,67,304
304,trying,66,305
305,didn't,66,306
306,big,66,307
307,Mr,66,308
308,seeing,65,309
309,stuff,65,310
310,let,64,311
311,two,64,312
312,may,63,313
313,please,63,314
314,future,63,315
315,around,63,316
316,speech,63,317
317,old,62,318
318,try,62,319
319,kind,62,320
320,guys,62,321
321,must,62,322
322,seems,62,323
323,needs,62,324
324,guy,61,325
325,Congresswoman,61,326
326,Awesome,61,327
327,everyone,61,328
328,words,61,329
329,props,61,330
330,play,60,331
331,Congrats,60,332
332,point,60,333
333,agree,60,334
334,mind,60,335
335,voted,60,336
336,stop,60,337
337,Looking,60,338
338,true,59,339
339,having,59,340
340,already,59,341
341,care,58,342
342,soon,58,343
343,government,58,344
344,enough,58,345
345,that's,58,346
346,away,57,347
347,making,57,348
348,sharing,57,349
349,saw,57,350
350,Nice,57,351
351,woman,56,352
352,There,56,353
353,favorite,56,354
354,tell,56,355
355,win,56,356
356,pay,55,357
357,post,55,358
358,against,55,359
359,learn,55,360
360,America,55,361
361,Haha,54,362
362,everything,54,363
363,probably,54,364
364,days,53,365
365,friends,53,366
366,Do,53,367
367,others,52,368
368,since,52,369
369,looks,52,370
370,American,51,371
371,times,51,372
372,yet,51,373
373,yourself,51,374
374,sense,51,375
375,All,51,376
376,appreciate,51,377
377,bill,50,378
378,found,50,379
379,haha,50,380
380,In,50,381
381,bit,50,382
382,week,50,383
383,run,50,384
384,enjoyed,50,385
385,nothing,50,386
386,ago,49,387
387,home,49,388
388,might,49,389
389,New,49,390
390,girl,49,391
391,rest,48,392
392,truly,48,393
393,stand,48,394
394,able,48,395
395,ya,48,396
396,bless,47,397
397,without,47,398
398,heard,47,399
399,human,47,400
400,seen,47,401
401,Welcome,47,402
402,used,47,403
403,different,46,404
404,women,46,405
405,pleasure,46,406
406,yes,46,407
407,When,46,408
408,course,46,409
409,end,46,410
410,each,46,411
411,understand,46,412
412,far,45,413
413,totally,45,414
414,Will,45,415
415,workouts,45,416
416,coming,45,417
